strategy_date,trade_date,portfolio_value,portfolio_nav,etf_count,total_etfs,absolute_return,return_rate,has_trading,normalized_nav
20241213,20241218,104055049.20194334,1.0405504920194333,5,5,4055049.201943338,4.055049201943338,False,1.0405504920194333
20241213,20241219,103161197.8339391,1.0316119783393911,5,5,3161197.8339391053,3.161197833939106,False,1.0316119783393911
20241213,20241220,102645171.47674035,1.0264517147674035,5,5,2645171.4767403454,2.6451714767403454,False,1.0264517147674035
20241220,20241223,102584942.65216957,1.0258494265216958,5,5,2584942.6521695703,2.58494265216957,True,1.0258494265216958
20241220,20241224,103705523.58879262,1.0370552358879261,5,5,3705523.588792622,3.7055235887926217,False,1.0370552358879261
20241220,20241225,103572324.18971752,1.0357232418971751,5,5,3572324.1897175163,3.5723241897175164,False,1.0357232418971751
20241220,20241226,102643774.26547948,1.0264377426547948,5,5,2643774.2654794753,2.6437742654794754,False,1.0264377426547948
20241220,20241227,103331255.02561122,1.0333125502561122,5,5,3331255.025611222,3.3312550256112217,False,1.0333125502561122
20241227,20241230,102826711.28056686,1.0282671128056686,5,5,2826711.2805668563,2.8267112805668564,True,1.0282671128056686
20241227,20241231,101295849.871011,1.0129584987101101,5,5,1295849.8710110039,1.2958498710110038,False,1.0129584987101101
20241227,20250102,98586443.64408256,0.9858644364408257,5,5,-1413556.3559174389,-1.413556355917439,False,0.9858644364408257
20241227,20250103,97603641.85478294,0.9760364185478294,5,5,-2396358.145217061,-2.3963581452170613,False,0.9760364185478294
20250103,20250106,98135057.67970514,0.9813505767970514,5,5,-1864942.320294857,-1.864942320294857,True,0.9813505767970514
20250103,20250107,98807114.7140746,0.988071147140746,5,5,-1192885.2859254032,-1.1928852859254033,False,0.988071147140746
20250103,20250108,98146390.88383472,0.9814639088383472,5,5,-1853609.1161652803,-1.8536091161652803,False,0.9814639088383472
20250103,20250109,97910058.1275247,0.979100581275247,5,5,-2089941.8724752963,-2.089941872475296,False,0.979100581275247
20250103,20250110,96323068.40675619,0.963230684067562,5,5,-3676931.5932438076,-3.6769315932438076,False,0.963230684067562
20250110,20250113,97175813.21806757,0.9717581321806757,5,5,-2824186.7819324285,-2.8241867819324287,True,0.9717581321806757
20250110,20250114,98611803.84683421,0.9861180384683421,5,5,-1388196.1531657875,-1.3881961531657874,False,0.9861180384683421
20250110,20250115,98908974.94573604,0.9890897494573604,5,5,-1091025.0542639643,-1.0910250542639643,False,0.9890897494573604
20250110,20250116,99605763.24383828,0.9960576324383829,5,5,-394236.75616171956,-0.3942367561617196,False,0.9960576324383829
20250110,20250117,99332380.1403742,0.993323801403742,5,5,-667619.8596258014,-0.6676198596258015,False,0.993323801403742
20250117,20250120,99263964.55305229,0.9926396455305229,5,5,-736035.4469477087,-0.7360354469477087,True,0.9926396455305229
20250117,20250121,99003947.47445297,0.9900394747445297,5,5,-996052.5255470276,-0.9960525255470276,False,0.9900394747445297
20250117,20250122,97588253.8902648,0.975882538902648,5,5,-2411746.109735206,-2.4117461097352058,False,0.975882538902648
20250117,20250123,99379453.56696698,0.9937945356696698,5,5,-620546.4330330193,-0.6205464330330193,False,0.9937945356696698
20250117,20250124,99779999.21428397,0.9977999921428398,5,5,-220000.78571602702,-0.22000078571602702,False,0.9977999921428398
20250124,20250127,100687133.37583265,1.0068713337583264,5,5,687133.3758326471,0.687133375832647,True,1.0068713337583264
20250127,20250205,100925755.5964962,1.009257555964962,5,5,925755.5964961946,0.9257555964961947,True,1.009257555964962
20250127,20250206,105599616.09613994,1.0559961609613995,5,5,5599616.096139938,5.599616096139937,False,1.0559961609613995
