param_CITIC_LIMIT,param_CMVG_LIMIT,param_STK_HOLD_LIMIT,param_OTHER_LIMIT,param_STK_BUY_R,param_TURN_MAX,param_MEM_HOLD,年化收益,年化波动,夏普比率,累计收益,最大回撤,平均回撤,胜率(天),超额年化收益,超额年化波动,信息比率,超额累计收益,超额最大回撤,超额平均回撤,超额胜率(天),超额年化收益_2022,超额年化收益_2023,超额年化收益_2024,超额年化收益_2025,超额年化波动_2022,超额年化波动_2023,超额年化波动_2024,超额年化波动_2025,信息比率_2022,信息比率_2023,信息比率_2024,信息比率_2025,source_file
0.0032482806,0.3079769552,0.0043284432,0.222189731,0.0133451483,0.0851840237,0.0754390281,0.21948206818278335,0.2451478337107121,0.895304946654288,0.723412896730454,0.3540298852432736,0.06252637216700167,0.5570388349514563,0.17711394087412083,0.07809664890392133,2.2678814438250208,1.5837675491211023,0.08850172572404236,0.014712758971483391,0.5995145631067961,0.19923975731959567,0.228369859376937,0.12982345850158528,0.1603296053242317,0.05574622604095965,0.046483969637922694,0.1095671942862432,0.07511558864483606,3.5740492490595486,4.912873430470267,1.1848752662445914,2.134438512920498,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0018347243,0.3870642085,0.0013825414,0.2787459693,0.0133451483,0.0458803479,0.1301348416,0.19330393935196807,0.2405447080816471,0.8036091955361401,0.6371297841040867,0.36404477584847916,0.06635047997244206,0.5485436893203883,0.15093581204330553,0.05870795113835166,2.57096030634094,1.497484436494735,0.07732090642840417,0.008295373412635183,0.6128640776699029,0.14694870059963877,0.16269145287332337,0.1332604893473298,0.15973852125288884,0.03531530020072575,0.030314304702022402,0.08856526332981145,0.05140093389321813,4.16104917031454,5.366821191266495,1.5046586476130734,3.107696867623739,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0040398717,0.2605782673,0.0030641549,0.328946163,0.010012681,0.0745273759,0.0336156484,0.2299757662631359,0.244723001326927,0.9397390724050079,0.7580001256032959,0.35807631252091765,0.06138864515849198,0.5570388349514563,0.18760763895447338,0.08090379460933524,2.3188978942259144,1.6183547779939442,0.09729003087465227,0.014481433753261854,0.6104368932038835,0.23372894892969892,0.224225037361721,0.13202622905460043,0.18284842319409633,0.06227484427038688,0.04539855554952212,0.1133582930134656,0.07795479550979516,3.75318399697456,4.9390346156967375,1.1646808146530339,2.345569916492451,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0018138202,0.4320650583,0.0018672213,0.2682651327,0.0102675367,0.0641560586,0.1790810372,0.2176504072709731,0.2430101477672527,0.895643285972698,0.7173757423651272,0.36481205038503306,0.06351848010192085,0.5509708737864077,0.17528227996231055,0.07077939404517339,2.4764591775176896,1.5777303947557755,0.09500039191513943,0.01041472740618867,0.6092233009708737,0.1725430354305842,0.19736029941762473,0.15096180073974733,0.17930458774462657,0.04505816521102715,0.037406000579038985,0.10503663858593755,0.0636881724338692,3.8293400235559854,5.276166827848966,1.437229930166085,2.8153514364195016,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0006298567,0.3304585539,0.0044914428,0.2843861156,0.017633291,0.0814795815,0.0962462195,0.24521124311639655,0.24837194967876888,0.9872743014399966,0.808216257311643,0.3494782719608136,0.05891921157184982,0.5631067961165048,0.20284311580773404,0.08469716037330821,2.3949222726439694,1.6685709097022914,0.0918464137822197,0.01567115845845814,0.6055825242718447,0.2426596156451153,0.25037184933764467,0.15092600474990894,0.18543198911780187,0.06366089719213815,0.0498557932046283,0.1186978116251518,0.08069824197846322,3.8117529967058448,5.021920889113479,1.271514636061985,2.2978442227686946,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0005723275,0.2654114715,0.0024672603,0.1670480723,0.0184573849,0.0712398374,0.2966931903,0.20601459744189896,0.2413244233670448,0.8536831646275561,0.679024113168499,0.35733829926741034,0.06356867484075222,0.5533980582524272,0.16364647013323644,0.06728484898652791,2.4321444217850963,1.5393787655591473,0.08111802658039036,0.009571556963299147,0.6043689320388349,0.16437157068695868,0.20215221749448084,0.14041809854406082,0.14628139121399444,0.040321020002334916,0.03797330295938178,0.09874725312729511,0.06182612003896991,4.076572732471555,5.323535266624379,1.4219949831216854,2.3660127972091916,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0018233684,0.4819774374,0.0017298871,0.1298306771,0.0155525431,0.065358113,0.2040378003,0.18519471248205788,0.2403126679490101,0.7706406577007949,0.6104017723408628,0.3620494073907877,0.06683436730248997,0.5461165048543689,0.14282658517339536,0.05768727274656104,2.4758768853726023,1.470756424731511,0.07182252029262504,0.007795385167181152,0.6080097087378641,0.1340454429932311,0.16460026470027367,0.13189512828480723,0.13570494052896334,0.03200927922219371,0.031047987953397825,0.08670655922318093,0.05125168432280785,4.187705760656128,5.301479276123597,1.5211666737381637,2.6478142586344697,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0035050715,0.482065253,0.0010227685,0.2265267523,0.015728016,0.0587319009,0.2613034014,0.15651650150747948,0.24127734014603208,0.6486995480501755,0.5158783889686523,0.37432834184828845,0.07386087008619732,0.5424757281553398,0.11414837419881696,0.04493822465303253,2.5401175742957167,1.3762330413593007,0.06181614483557962,0.007275721592326394,0.5946601941747572,0.11627151551017482,0.12894273437625656,0.09021403692329542,0.12310640730776268,0.028737125250852535,0.02425012739701066,0.06614927173835672,0.0410105536163548,4.046038512732774,5.317198226024638,1.3637948620224147,3.0018226152077223,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0013270848,0.3616620932,0.0031677608,0.324435828,0.0155183291,0.0870286552,0.1445788222,0.24907558018244133,0.2458524434981341,1.0131100453525965,0.8209531122813266,0.3624143622329318,0.06087242980322982,0.558252427184466,0.2067074528737788,0.085355361689199,2.4217278069356,1.681307764671975,0.10192621229265564,0.013518623220627423,0.5946601941747572,0.23979810192823825,0.23494825399220134,0.16171207824566813,0.20678794647332233,0.06234555943238845,0.047492455516290014,0.12180886396618784,0.08040827294746672,3.846273962595376,4.947064779828316,1.3275887565173974,2.571724760316932,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0025389856,0.2996117245,0.0023216543,0.2073507734,0.0033422496,0.0498606589,0.2309806609,0.21294341231784814,0.24500358559787042,0.8691440649662845,0.7018614869996275,0.3631279272397041,0.06478520979858302,0.5533980582524272,0.17057528500918562,0.07132850561619224,2.39140415932762,1.5622161393902758,0.09491571791327003,0.012026530452622213,0.6043689320388349,0.19099929925436604,0.20659369686629145,0.12493640176723331,0.16982493793221698,0.04646160435480008,0.04022974386478936,0.10341161314888178,0.066348455515824,4.110906239823666,5.135347059644352,1.208146725139683,2.5595914269882893,diverse_efficient_parameters_ratio_score_trade_support7.json
