param_CITIC_LIMIT,param_CMVG_LIMIT,param_STK_HOLD_LIMIT,param_OTHER_LIMIT,param_STK_BUY_R,param_TURN_MAX,param_MEM_HOLD,年化收益,年化波动,夏普比率,累计收益,最大回撤,平均回撤,胜率(天),超额年化收益,超额年化波动,信息比率,超额累计收益,超额最大回撤,超额平均回撤,超额胜率(天),超额年化收益_2021,超额年化收益_2022,超额年化收益_2023,超额年化收益_2024,超额年化收益_2025,超额年化波动_2021,超额年化波动_2022,超额年化波动_2023,超额年化波动_2024,超额年化波动_2025,信息比率_2021,信息比率_2022,信息比率_2023,信息比率_2024,信息比率_2025,source_file
0.4409392155,0.076555039,0.0060382947,0.0497819811,0.0110903437,0.0302868693,0.1959786182,0.1584237075172786,0.24862331272623903,0.6372037512496671,0.6425665576900821,0.4067016342256473,0.09304172204474877,0.5384615384615384,0.13182024155269298,0.05979343968656966,2.2045937187035825,0.5346628997377227,0.07347683015134077,0.011888535275683324,0.5641025641025641,0.10793652168758382,0.22260636885911275,0.08944307722084996,0.08145086759761704,0.17062402026848564,0.06254331051134344,0.053203013367279686,0.05355702727744415,0.06990596714915763,0.05807816716466785,1.7257884305309907,4.18409324529008,1.6700530587238067,1.1651489982797345,2.9378341052795074,diverse_efficient_parameters_ratio_score_trade_support7.json
0.3134582101,0.2992296408,0.0061697016,0.1033955861,0.0082302202,0.0302597616,0.1943705228,0.1920037992058071,0.2512319488773404,0.7642491333757458,0.7787674095787537,0.39583364526311027,0.0769380838627773,0.539447731755424,0.1654003332412215,0.07767790526185439,2.129309907156383,0.6708637516263943,0.11015900937661438,0.012970539001723898,0.5710059171597633,0.10908356813296295,0.23740140454006894,0.14408042873184956,0.13644915865549112,0.20306277410280066,0.07547713559365364,0.061771653471118744,0.06319276067323286,0.1027333093102507,0.0780966634124331,1.4452531521630114,3.8432094852546834,2.2800147864544718,1.3281880976248885,2.6001466033243203,diverse_efficient_parameters_ratio_score_trade_support7.json
0.1128552499,0.2934085126,0.0058186651,0.0116653509,0.0172908294,0.0300973196,0.1141340855,0.14731292282707825,0.24227788236903117,0.6080328975415724,0.5975012149866294,0.390033919225906,0.08281988618862965,0.5355029585798816,0.12070945686249264,0.051032932359204856,2.3653247282138623,0.4895975570342701,0.057525700902760546,0.009055031245246092,0.5927021696252466,0.13237580921847691,0.1936578853541935,0.09220569707593201,0.08077872968362941,0.0939787712695447,0.04984080322095395,0.045612612185837675,0.04215877870433018,0.06469693132264671,0.04813835036584288,2.6559726301285567,4.245709159676731,2.187105507078208,1.248571269644645,1.9522640588080562,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2813006902,0.1657111169,0.0044496534,0.0504244017,0.0145749804,0.0302506242,0.1507738369,0.1605819085197031,0.24609862096813379,0.6525103955803805,0.6513202209559158,0.4049069142719882,0.0911400175846271,0.5335305719921104,0.13397844255511748,0.05909328222827609,2.2672364353965246,0.5434165630035565,0.07156916554083892,0.010753799038378274,0.5769230769230769,0.0937530978842876,0.21913145484941163,0.08587944591295005,0.10756896334412272,0.17068513031568697,0.062101694008939036,0.050797753064459085,0.05174140021701049,0.07037814040339938,0.05931857303140645,1.509670539273737,4.313802119777776,1.6597820227662943,1.5284428194258877,2.877431495618026,diverse_efficient_parameters_ratio_score_trade_support7.json
0.150837455,0.2766707992,0.0060342314,0.0042443182,0.0113247538,0.0318190929,0.062347454,0.15084836469536395,0.2406989240044728,0.6267097591701772,0.6118409672043962,0.38014906510519353,0.08410083271192073,0.5374753451676528,0.1242448987307783,0.0477168532820491,2.603794889750594,0.5039373092520368,0.046113337973879065,0.007617620481126647,0.5769230769230769,0.12861569851507076,0.20105069943468065,0.07839749857598512,0.10038057190148589,0.10275437904489164,0.04891706877137288,0.04564583318988246,0.040111459073636516,0.05494998135809429,0.04849652146858491,2.6292601283243466,4.4045794628904735,1.9544913196017923,1.8267626197601892,2.1187989557447726,diverse_efficient_parameters_ratio_score_trade_support7.json
0.1595361628,0.3830977107,0.0066349011,0.0069284525,0.0062398256,0.0303875538,0.2339155952,0.15355035259292935,0.2414664476255392,0.6359076140924217,0.6228002301169214,0.38139726431323506,0.0836221874710409,0.5374753451676528,0.1269468866283437,0.04926810662154584,2.576654459313594,0.5148965721645621,0.049441260517921304,0.009109598226613922,0.5700197238658777,0.17460260910267203,0.1906076716644049,0.07844638690947126,0.09059675765881328,0.10030293276991081,0.05179331229275608,0.04605394097426953,0.03994206927848712,0.058844452135753976,0.04755008994180916,3.371141975159838,4.138791765310551,1.9640040770677507,1.5395972665325668,2.109416257522531,diverse_efficient_parameters_ratio_score_trade_support7.json
0.1724068916,0.2138696691,0.0042420854,0.0720315015,0.0128650636,0.0331706464,0.3010113658,0.17259416208970813,0.24736273303708572,0.6977371246291657,0.7000419214358561,0.3860576428486777,0.0833894235128915,0.5374753451676528,0.14599069612512247,0.06640933929049271,2.198345860459762,0.5921382634834967,0.08848576791344653,0.011212904125405437,0.5710059171597633,0.09799975106953014,0.21175854364014576,0.11095833153134248,0.11854345825506153,0.20944073785659226,0.0667683678249921,0.05415678829964716,0.05751452763721914,0.08370812694095799,0.06605910312384454,1.4677571769673814,3.910101582621461,1.9292226866788778,1.416152321012678,3.1705053195158053,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2090106901,0.0319921674,0.006291577,0.0442097272,0.016443617,0.0302081036,0.2702024628,0.15523202592169869,0.24841024779472715,0.624901860127663,0.6296210971384099,0.4030080742790555,0.0924945915379041,0.5414201183431953,0.12862855995711306,0.05562965517407716,2.3122300426743005,0.5217174391860505,0.060895147539340555,0.009162983416565199,0.5660749506903353,0.12103426877350217,0.1883047915450007,0.08791410192266777,0.10951659217368376,0.13975548841184346,0.0577215425674157,0.05104951230208082,0.0506926558421802,0.06301570292506596,0.055542415613441164,2.0968647646957903,3.688669745378258,1.7342571712235377,1.7379254231903678,2.5161939189771734,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2801259113,0.2706337485,0.004819618,0.0357710252,0.0034132001,0.0307596716,0.1193964415,0.16440826466374617,0.24447059981467298,0.672507306761549,0.6668399214761545,0.3868216249156087,0.08559554591964219,0.5355029585798816,0.1378047986991605,0.05583488350158164,2.46807712413794,0.5589362635237951,0.06657059378199781,0.00925977079584168,0.5680473372781065,0.08691054113569145,0.2493532791195568,0.09428439821993942,0.09947901962358295,0.150816209733031,0.05530483340106259,0.05078032867681876,0.048945847328631956,0.06656516941647811,0.05521209964400539,1.5714818360527167,4.910430586349999,1.9263002556048443,1.4944605488971694,2.7315789601456637,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2826201876,0.3809479333,0.0046650029,0.0888402473,0.0153071537,0.0316647001,0.1949209254,0.17704357623882638,0.24911973542293075,0.7106766388389879,0.7180887452246799,0.3960689212048174,0.07981145286682796,0.5364891518737672,0.15044011027424078,0.07188240678609205,2.0928641235110708,0.6101850872723206,0.0996261875943566,0.012311991498087914,0.5650887573964497,0.07646489167717276,0.21783926706867682,0.12893224451441979,0.1334908091857931,0.1991432569918764,0.07006896490358294,0.05802186310808311,0.06054232321863462,0.09338447386962098,0.071438446418051,1.0912804518004626,3.7544341977245006,2.129621687109871,1.4294754112141457,2.7876202098028418,diverse_efficient_parameters_ratio_score_trade_support7.json
